product,date,price,volume,best_bid,best_ask
BTC-USD,1637121851788,59113.26,0.011114,59113.26,59113.27
BTC-USD,1637121851919,59110.06,0.00080836,59110.05,59110.06
BTC-USD,1637121851931,59113.27,0.00031166,59110.05,59113.27
BTC-USD,1637121852068,59113.48,0.00050977,59113.48,59116.59
BTC-USD,1637121853042,59113.49,0.00479197,59113.48,59113.49
BTC-USD,1637121853119,59112.46,0.00348398,59105.99,59112.46
BTC-USD,1637121853467,59096.31,0.00095818,59096.30,59096.31
BTC-USD,1637121853683,59096.31,0.00010102,59096.30,59096.31
BTC-USD,1637121853898,59096.31,0.00161682,59096.30,59096.31
BTC-USD,1637121854029,59096.31,0.08122398,59096.30,59096.31
BTC-USD,1637121854029,59096.31,0.01811776,59096.30,59096.32
BTC-USD,1637121854029,59096.32,0.01811776,59096.30,59098.59
BTC-USD,1637121854029,59098.59,0.13115651,59096.30,59098.59
BTC-USD,1637121854491,59096.31,0.0005558,59096.30,59096.31
BTC-USD,1637121854567,59096.31,0.00001686,59096.30,59096.31
BTC-USD,1637121855889,59096.31,0.0008,59096.30,59096.31
BTC-USD,1637121856538,59096.31,0.0020526,59096.30,59096.31
BTC-USD,1637121856589,59096.3,0.00858,59096.30,59096.31
BTC-USD,1637121856602,59096.3,0.00000521,59090.34,59096.31
BTC-USD,1637121856602,59090.34,0.00016379,59090.34,59096.31
BTC-USD,1637121856691,59090.35,0.0015682,59090.34,59090.35
BTC-USD,1637121856766,59090.35,0.00080773,59090.34,59090.35
BTC-USD,1637121856852,59090.34,0.00920458,59090.34,59090.35
BTC-USD,1637121856852,59090.34,0.02499542,59090.34,59090.35
BTC-USD,1637121856996,59090.34,0.00000458,59085.16,59090.35
BTC-USD,1637121856996,59085.16,0.00012342,59085.16,59090.35
BTC-USD,1637121857237,59077.29,0.00842,59077.29,59077.30
BTC-USD,1637121857559,59077.3,0.02487841,59077.29,59077.30
BTC-USD,1637121857749,59077.29,0.00000138,59075.46,59077.30
BTC-USD,1637121857749,59075.46,0.04202593,59073.51,59077.30
BTC-USD,1637121858125,59073.96,0.03318034,59073.95,59073.96
BTC-USD,1637121858351,59073.96,0.00004978,59073.95,59073.96
BTC-USD,1637121858429,59073.96,0.02957065,59073.95,59073.96
BTC-USD,1637121858484,59073.52,0.00039569,59073.51,59073.52
BTC-USD,1637121858870,59073.52,0.00001686,59073.51,59073.52
BTC-USD,1637121858908,59073.52,0.00663053,59073.51,59073.52
BTC-USD,1637121859263,59073.52,0.01347507,59073.51,59073.52
BTC-USD,1637121859272,59073.52,0.00015174,59073.51,59073.52
BTC-USD,1637121859283,59073.52,0.00004306,59073.51,59073.52
BTC-USD,1637121859333,59073.52,0.00080812,59073.51,59073.52
BTC-USD,1637121859540,59073.51,0.12493659,59073.51,59073.52
BTC-USD,1637121859579,59073.51,0.04427554,59073.46,59073.52
BTC-USD,1637121859579,59073.46,0.00769,59068.69,59073.52
BTC-USD,1637121859626,59072.32,0.00163299,59068.69,59072.32
BTC-USD,1637121859631,59072.32,0.01,59068.69,59072.32
BTC-USD,1637121859994,59068.79,0.00099141,59068.78,59068.79
BTC-USD,1637121860005,59068.79,0.005,59068.78,59068.79
BTC-USD,1637121860095,59068.79,0.01267881,59068.78,59068.80
BTC-USD,1637121860095,59068.8,0.00416637,59068.78,59068.80
BTC-USD,1637121860184,59069.71,0.00727293,59068.79,59069.71
BTC-USD,1637121860203,59068.79,0.000076,59068.79,59069.71
BTC-USD,1637121860261,59068.79,0.00053075,59068.79,59068.80
BTC-USD,1637121860395,59068.8,0.00015174,59068.79,59068.80
