price, date, volume, best_bid, best_ask
1637121095101, 59497.03,0.00591429,59497.03,59497.04
1637121095267, 59497.04,0.00046871,59497.03,59497.04
1637121095719, 59497.03,0.01170429,59497.03,59497.04
1637121095760, 59497.04,0.00112106,59497.03,59497.04
1637121095836, 59497.04,0.05066453,59497.03,59500.00
1637121096158, 59500,0.0000448,59499.99,59500.00
1637121096166, 59500,0.12498627,59499.99,59500.00
1637121096166, 59500,0.07330865,59499.99,59500.00
1637121096166, 59500,0.02815303,59499.99,59500.00
1637121096166, 59500,0.00442865,59499.99,59500.00
1637121096166, 59500,0.02526,59499.99,59500.00
1637121096166, 59500,0.09529304,59499.99,59500.00
1637121096166, 59500,0.0264665,59499.99,59500.00
1637121096166, 59500,0.19943419,59499.99,59500.00
1637121096166, 59500,0.00986602,59499.99,59500.00
1637121096171, 59500,0.06007281,59499.99,59508.93
1637121096171, 59508.93,0.06490658,59499.99,59508.93
1637121096196, 59508.93,0.00004157,59499.99,59508.93
1637121096202, 59508.93,0.00605185,59508.92,59508.94
1637121096202, 59508.94,0.01394815,59508.92,59508.94
1637121096234, 59508.94,0.05,59508.93,59508.94
1637121096243, 59508.94,0.00705185,59508.93,59510.43
1637121096243, 59510.43,0.00336616,59508.93,59510.58
1637121096243, 59510.58,0.00432397,59508.93,59510.60
1637121096243, 59510.6,0.08,59508.93,59514.89
1637121096278, 59514.89,0.071,59508.93,59520.84
1637121096833, 59520.84,0.00494832,59517.73,59520.84
1637121096883, 59520.84,0.00030974,59517.73,59520.84
1637121097208, 59517.76,0.01673543,59517.75,59517.76
1637121097298, 59517.76,0.0004112,59514.06,59517.76
1637121097481, 59514.06,0.00058164,59514.06,59514.07
1637121097530, 59514.06,0.19806,59514.06,59514.07
1637121097559, 59514.06,0.00000594,59505.00,59514.07
1637121097702, 59505.01,0.00004564,59505.00,59505.01
1637121098142, 59505.01,0.0001675,59505.00,59505.01
1637121098211, 59505,0.000034,59505.00,59505.01
1637121098354, 59505.01,0.00039332,59505.00,59505.01
1637121098429, 59505.01,0.00066909,59505.00,59505.01
1637121098464, 59505.01,0.00329595,59505.00,59505.01
1637121098489, 59505.01,0.00162297,59505.00,59505.01
1637121098643, 59505.01,0.06967,59505.00,59505.01
1637121098849, 59505,0.00009402,59505.00,59505.01
1637121099358, 59516.24,0.00068388,59512.30,59516.35
1637121099358, 59516.35,0.00052084,59512.30,59516.35
1637121099446, 59512.91,0.00137596,59512.91,59516.24
1637121100773, 59511.21,0.03112314,59511.20,59511.21
1637121100966, 59511.2,0.25212398,59508.66,59511.21
1637121100966, 59508.66,0.08400527,59507.72,59511.21
1637121100966, 59507.72,0.00028628,59507.72,59511.21
1637121101015, 59510.99,0.00039316,59510.31,59510.99
1637121101118, 59511.21,0.00835997,59510.53,59511.21
1637121101288, 59511.18,0.00162297,59510.31,59511.18
1637121101331, 59511.21,0.01712585,59510.31,59511.21
1637121101573, 59510.32,0.00250936,59510.31,59510.32
1637121102122, 59507.78,0.01608144,59507.77,59507.78
1637121102130, 59511.21,0.1250404,59507.77,59511.21
1637121102130, 59511.21,0.03797358,59507.77,59511.21
1637121102134, 59511.21,0.10003232,59507.77,59511.21
1637121102134, 59511.21,0.12503492,59507.77,59511.21
1637121102139, 59511.2,0.04,59507.80,59511.21
1637121102139, 59511.21,0.08496945,59507.80,59511.21
1637121102161, 59511.21,0.00877,59511.20,59511.21
1637121102173, 59511.21,0.03797358,59511.20,59511.21
1637121102174, 59511.21,0.00359993,59511.20,59512.91
1637121102180, 59512.91,0.015,59511.20,59516.24
1637121102216, 59516.24,0.00075185,59512.90,59516.24
1637121102216, 59516.24,0.00188,59512.90,59524.13
1637121102542, 59533.53,0.00047533,59528.29,59533.53
1637121102607, 59528.29,0.00268617,59528.29,59533.53
1637121102700, 59533.53,0.23883303,59533.52,59540.00
1637121102740, 59530.24,0.00003291,59530.24,59539.85
1637121103231, 59540,0.00778079,59535.95,59540.00
1637121103697, 59538.51,0.00412106,59530.86,59538.51
1637121103978, 59528.76,0.00039332,59528.75,59528.76
1637121104199, 59528.64,0.0016715,59528.63,59528.64
1637121104666, 59528.63,0.00021071,59528.63,59528.64
1637121104698, 59524.36,0.00039297,59524.35,59524.36
1637121105204, 59528.13,0.01648425,59524.62,59528.13
1637121105622, 59527.1,0.25207,59527.09,59527.10
1637121105742, 59538.51,0.00167372,59538.50,59538.51
1637121105781, 59538.51,0.0025936,59538.50,59538.51
1637121105845, 59538.51,0.00160809,59538.50,59538.51
1637121106774, 59538.51,0.00377914,59538.50,59538.51
1637121106995, 59538.51,0.00010958,59538.50,59538.51
1637121107016, 59538.51,0.00078588,59538.50,59538.51
1637121107384, 59538.5,0.00010014,59534.58,59538.51
1637121107384, 59534.58,0.00201062,59534.58,59538.51
1637121107394, 59527.15,0.1673485,59527.09,59538.51
1637121107394, 59527.09,0.8326515,59527.09,59538.51
1637121107582, 59533.71,0.00182177,59530.01,59533.71
1637121107978, 59533.71,0.00167136,59530.70,59533.71
1637121108025, 59533.71,0.00170399,59530.76,59533.71
1637121108185, 59530.71,0.01671448,59530.70,59530.71
1637121108245, 59530.71,0.00167144,59527.20,59530.71
1637121108373, 59524.04,1.861,59523.02,59527.08
1637121108373, 59523.02,0.0016833,59517.81,59527.08
1637121108459, 59517.81,0.00498315,59517.81,59517.82
1637121108523, 59517.81,0.02569951,59517.81,59517.82
1637121108524, 59517.81,0.02131734,59510.56,59517.82
1637121108546, 59509.08,0.00168,59509.08,59515.56
1637121109367, 59500.41,0.00087105,59500.40,59500.41
1637121109487, 59500.41,0.00245945,59500.40,59500.41
1637121110018, 59500.41,0.00824393,59500.40,59500.41
1637121110051, 59496.61,0.001683,59496.61,59499.66
1637121110173, 59496.62,0.01647184,59496.61,59496.62
1637121110184, 59496.62,0.02471642,59496.61,59496.62
1637121110501, 59496.51,0.00009103,59496.51,59496.52
1637121110807, 59496.52,0.00179071,59496.51,59496.52
1637121111277, 59496.52,0.00378979,59496.51,59496.52
1637121112034, 59496.52,0.00823592,59496.51,59496.52
1637121112170, 59498.01,0.00392738,59498.01,59499.48
1637121112420, 59499.48,0.0016833,59499.47,59500.41
1637121112665, 59500.41,0.00016437,59500.40,59500.41
1637121112800, 59500.41,0.00162174,59500.40,59500.41
1637121112859, 59500.41,0.00039291,59500.40,59500.41
1637121112895, 59500.41,0.0033691,59500.40,59500.41
1637121113187, 59500.41,0.00329462,59500.40,59500.41
1637121113352, 59500.41,0.00055167,59500.40,59500.41
1637121113699, 59500.41,0.00214414,59500.40,59500.41
1637121113758, 59500.41,0.01648633,59500.40,59500.41
1637121113888, 59500.4,0.00036844,59496.56,59500.41
1637121113888, 59496.56,0.00030993,59496.56,59500.41
1637121114034, 59500.4,0.0008026,59496.68,59500.40
1637121114242, 59500.41,0.00329346,59500.40,59500.41
1637121114390, 59500.41,0.00321428,59500.40,59500.41
1637121114468, 59500.41,0.01647184,59497.00,59500.41
1637121114560, 59500.41,0.00015067,59500.40,59500.41
1637121114856, 59500.41,0.00015063,59498.20,59500.41
1637121115070, 59500.4,0.00329346,59498.23,59500.40
1637121115299, 59498.91,0.000343,59496.66,59498.91
1637121115766, 59500.41,0.00811238,59496.77,59500.41
1637121115946, 59500.41,0.00041807,59500.40,59500.41
1637121116353, 59500.41,0.00659373,59500.40,59500.41
1637121116570, 59500.41,0.02,59500.40,59500.41
1637121116795, 59500.41,0.00804081,59500.40,59500.41
1637121116982, 59500.41,0.00015067,59500.40,59500.41
1637121117211, 59500.4,0.012,59500.40,59500.41
1637121117211, 59500.4,0.04193309,59500.40,59500.41
1637121117211, 59500.4,0.00032281,59500.40,59500.41
1637121117211, 59500.4,0.071,59500.40,59500.41
1637121117211, 59500.4,0.05,59497.59,59500.41
1637121117367, 59499.09,0.0000441,59497.59,59500.41
1637121117367, 59500.41,0.0004559,59497.59,59500.41
1637121117474, 59500.41,0.00329249,59500.40,59500.41
1637121117855, 59500.4,0.00028187,59500.40,59500.41
1637121117855, 59500.4,0.00747249,59500.40,59500.41
